Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Normalized
2020-02-27,54.8,54.8,54.2,54.4,47341944,0.21,0,0.9040749850428771
2020-02-28,53.35,53.4,53.0,53.15,68658071,0.0,0,0.8833012032174433
2020-03-02,52.5,52.95,52.5,52.8,45360511,0.0,0,0.8774845443063218
2020-03-03,53.0,53.1,52.55,52.55,45432000,0.0,0,0.8733297879412352
2020-03-04,51.75,51.95,50.8,51.35,78906347,0.0,0,0.8533869573888188
2020-03-05,51.55,52.1,51.5,51.8,53217412,0.0,0,0.8608655188459748
2020-03-06,51.15,51.15,50.55,50.65,106618709,0.0,0,0.8417536395665758
2020-03-09,49.0,49.55,48.6,48.75,107572300,0.0,0,0.8101774911919165
2020-03-10,48.4,49.55,48.4,48.9,69125630,0.0,0,0.8126703450109686
2020-03-11,49.2,49.2,48.6,48.65,54556159,0.0,0,0.8085155886458818
2020-03-12,48.0,48.0,46.5,46.65,93238456,0.0,0,0.7752775377251878
2020-03-13,42.0,46.1,42.0,45.7,127327773,0.0,0,0.7594894635378582
2020-03-16,44.0,44.75,43.6,43.8,91411722,0.0,0,0.7279133151631988
2020-03-17,45.0,45.5,43.85,44.95,61904930,0.0,0,0.747025194442598
2020-03-18,45.2,46.5,44.15,44.55,63302201,0.0,0,0.7403775842584591
2020-03-19,44.2,44.9,43.5,44.6,77249632,0.0,0,0.7412085355314765
2020-03-20,44.95,47.0,44.95,47.0,54043420,0.0,0,0.7810941966363093
2020-03-23,44.75,44.85,43.85,44.2,64238228,0.0,0,0.7345609253473377
2020-03-24,45.0,45.2,44.45,45.1,35692750,0.0,0,0.74951804826165
2020-03-25,46.1,46.6,45.0,46.3,46847802,0.0,0,0.7694608788140663
2020-03-26,45.95,45.95,45.05,45.7,29685401,0.0,0,0.7594894635378582
2020-03-27,46.0,46.15,45.1,45.4,38499002,0.0,0,0.754503755899754
2020-03-30,44.8,45.15,44.1,44.5,51712032,0.0,0,0.7395466329854418
2020-03-31,44.75,44.9,43.95,44.15,34812410,0.0,0,0.7337299740743203
2020-04-01,41.0,41.7,39.8,39.95,212365103,0.0,0,0.6639300671408629
2020-04-02,38.8,39.2,37.8,38.9,120204700,0.0,0,0.6464800904074985
2020-04-03,38.0,38.3,37.6,37.9,90173250,0.0,0,0.6298610649471515
2020-04-06,38.5,39.2,38.05,38.95,61129889,0.0,0,0.6473110416805159
2020-04-07,39.8,40.3,39.2,40.15,74051605,0.0,0,0.6672538722329323
2020-04-08,40.15,41.0,39.9,39.9,48475468,0.0,0,0.6630991158678455
2020-04-09,40.45,41.05,40.2,41.0,40473133,0.0,0,0.6813800438742272
2020-04-14,41.0,41.9,40.85,41.45,36916865,0.0,0,0.6888586053313834
2020-04-15,41.3,41.75,40.6,40.6,29855944,0.0,0,0.6747324336900885
2020-04-16,39.75,39.95,39.35,39.7,37385637,0.0,0,0.6597753107757762
2020-04-17,39.8,40.3,39.45,39.5,52045136,0.0,0,0.6564515056837067
2020-04-20,40.2,40.6,39.8,40.05,30234010,0.0,0,0.6655919696868976
2020-04-21,39.8,39.95,39.05,39.15,26649500,0.0,0,0.6506348467725853
2020-04-22,38.45,38.95,38.35,38.85,30535510,0.0,0,0.6456491391344812
2020-04-23,38.8,39.0,38.45,38.7,16392710,0.0,0,0.6431562853154292
2020-04-24,38.5,39.15,38.5,38.75,15509150,0.0,0,0.6439872365884465
2020-04-27,38.95,39.65,38.8,39.5,29008800,0.0,0,0.6564515056837067
2020-04-28,40.1,40.4,39.05,39.95,54166070,0.0,0,0.6639300671408629
2020-04-29,40.6,40.75,40.15,40.25,34078050,0.0,0,0.668915774778967
2020-05-04,39.0,39.0,38.6,38.6,53885337,0.0,0,0.6414943827693944
2020-05-05,38.6,39.2,38.3,39.0,24186602,0.0,0,0.6481419929535333
2020-05-06,38.5,39.15,38.5,39.0,32638880,0.0,0,0.6481419929535333
2020-05-07,38.7,39.0,38.55,38.85,23315860,0.0,0,0.6456491391344812
2020-05-08,39.3,39.75,39.15,39.5,10505205,0.0,0,0.6564515056837067
