Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume (000),Turnover (000),Lot Size
2020-04-02,38.9,,,38.85,38.9,,39.2,37.8,39.95,120205.0,4628324.0,
2020-04-03,37.9,,,37.9,37.95,,38.3,37.6,38.9,90173.0,3424192.0,
2020-04-06,38.95,,,38.9,38.95,,39.2,38.05,37.9,61130.0,2365301.0,
2020-04-07,40.15,,,40.1,40.15,,40.3,39.2,38.95,74052.0,2944196.0,
2020-04-08,39.9,,,39.9,39.95,,41.0,39.9,40.15,48475.0,1951225.0,
2020-04-09,41.0,,,40.95,41.0,,41.05,40.2,39.9,40473.0,1649567.0,
2020-04-14,41.45,,,41.45,41.5,,41.9,40.85,41.0,36917.0,1535769.0,
2020-04-15,40.6,,,40.6,40.65,,41.75,40.6,41.45,29856.0,1229130.0,
2020-04-16,39.7,,,39.7,39.75,,39.95,39.35,40.6,37386.0,1482025.0,
2020-04-17,39.5,,,39.5,39.55,,40.3,39.45,39.7,52045.0,2073617.0,
2020-04-20,40.05,,,40.0,40.05,,40.6,39.8,39.5,30234.0,1214015.0,
2020-04-21,39.15,,,39.15,39.2,,39.95,39.05,40.05,26650.0,1046561.0,
2020-04-22,38.85,,,38.8,38.85,,38.95,38.35,39.15,30536.0,1180965.0,
2020-04-23,38.7,,,38.7,38.75,,39.0,38.45,38.85,16393.0,634463.0,
2020-04-24,38.75,,,38.7,38.75,,39.15,38.5,38.7,15509.0,601901.0,
2020-04-27,39.5,,,39.45,39.5,,39.65,38.8,38.75,29009.0,1143496.0,
2020-04-28,39.95,,,39.9,39.95,,40.4,39.05,39.5,54166.0,2152382.0,
2020-04-29,40.25,,,40.25,40.3,,40.75,40.15,39.95,34078.0,1374966.0,
2020-05-04,38.6,,,38.6,38.65,,39.0,38.6,40.25,53885.0,2087785.0,
2020-05-05,39.0,,,39.0,39.05,,39.2,38.3,38.6,24187.0,938710.0,
2020-05-06,39.0,,,39.0,39.05,,39.15,38.5,39.0,32639.0,1271621.0,
2020-05-07,38.85,,,38.85,38.9,,39.0,38.55,39.0,23316.0,905063.0,
